Municipality,Points
Time,"[(58.72224248015746, 5.718555344495275), (58.72624248015746, 5.718555344495275), (58.72624248015746, 5.722555344495275), (58.72624248015746, 5.726555344495274), (58.72624248015746, 5.730555344495274), (58.73024248015746, 5.718555344495275), (58.73024248015746, 5.722555344495275), (58.73024248015746, 5.726555344495274), (58.73024248015746, 5.730555344495274), (58.734242480157455, 5.730555344495274)]"
Tysvær,"[(59.39311335275857, 5.498768933899132), (59.397113352758566, 5.498768933899132), (59.397113352758566, 5.502768933899132), (59.397113352758566, 5.5067689338991315), (59.397113352758566, 5.510768933899131), (59.401113352758564, 5.498768933899132), (59.401113352758564, 5.502768933899132), (59.401113352758564, 5.5067689338991315), (59.401113352758564, 5.510768933899131), (59.40511335275856, 5.510768933899131)]"
Vindafjord,"[(59.59641793316087, 5.940259749198886), (59.60041793316087, 5.940259749198886), (59.60041793316087, 5.944259749198886), (59.60041793316087, 5.948259749198885), (59.60041793316087, 5.952259749198885), (59.60441793316087, 5.940259749198886), (59.60441793316087, 5.944259749198886), (59.60441793316087, 5.948259749198885), (59.60441793316087, 5.952259749198885), (59.608417933160865, 5.952259749198885)]"
Askøy,"[(60.39503764925213, 4.986141710536755), (60.39903764925213, 4.986141710536755), (60.39903764925213, 4.990141710536754), (60.39903764925213, 4.994141710536754), (60.39903764925213, 4.998141710536753), (60.40303764925213, 4.986141710536755), (60.40303764925213, 4.990141710536754), (60.40303764925213, 4.994141710536754), (60.40303764925213, 4.998141710536753), (60.407037649252125, 4.998141710536753)]"
Bømlo,"[(59.79490545535775, 5.186263572696835), (59.79890545535775, 5.186263572696835), (59.79890545535775, 5.190263572696835), (59.79890545535775, 5.194263572696834), (59.79890545535775, 5.198263572696834), (59.802905455357745, 5.186263572696835), (59.802905455357745, 5.190263572696835), (59.802905455357745, 5.194263572696834), (59.802905455357745, 5.198263572696834), (59.80690545535774, 5.198263572696834)]"
Etne,"[(59.692735573123166, 5.896174684924921), (59.69673557312316, 5.896174684924921), (59.69673557312316, 5.90017468492492), (59.69673557312316, 5.90417468492492), (59.69673557312316, 5.908174684924919), (59.70073557312316, 5.896174684924921), (59.70073557312316, 5.90017468492492), (59.70073557312316, 5.90417468492492), (59.70073557312316, 5.908174684924919), (59.70473557312316, 5.908174684924919)]"
Fusa,"[(60.194252879630724, 5.7020290533049165), (60.19825287963072, 5.7020290533049165), (60.19825287963072, 5.706029053304916), (60.19825287963072, 5.710029053304916), (60.19825287963072, 5.714029053304915), (60.20225287963072, 5.7020290533049165), (60.20225287963072, 5.706029053304916), (60.20225287963072, 5.710029053304916), (60.20225287963072, 5.714029053304915), (60.20625287963072, 5.714029053304915)]"
Granvin,"[(60.49535488863645, 6.695964794507547), (60.49935488863645, 6.695964794507547), (60.49935488863645, 6.6999647945075465), (60.49935488863645, 6.703964794507546), (60.49935488863645, 6.707964794507546), (60.503354888636444, 6.695964794507547), (60.503354888636444, 6.6999647945075465), (60.503354888636444, 6.703964794507546), (60.503354888636444, 6.707964794507546), (60.50735488863644, 6.707964794507546)]"
Jondal,"[(60.29778324351445, 6.2915393019451145), (60.30178324351445, 6.2915393019451145), (60.30178324351445, 6.295539301945114), (60.30178324351445, 6.299539301945114), (60.30178324351445, 6.303539301945113), (60.30578324351445, 6.2915393019451145), (60.30578324351445, 6.295539301945114), (60.30578324351445, 6.299539301945114), (60.30578324351445, 6.303539301945113), (60.309783243514445, 6.303539301945113)]"
Kvam,"[(60.39351946740593, 6.101466335658654), (60.39751946740593, 6.101466335658654), (60.39751946740593, 6.105466335658654), (60.39751946740593, 6.109466335658653), (60.39751946740593, 6.113466335658653), (60.401519467405926, 6.101466335658654), (60.401519467405926, 6.105466335658654), (60.401519467405926, 6.109466335658653), (60.401519467405926, 6.113466335658653), (60.405519467405924, 6.113466335658653)]"
Kvinnherad,"[(59.89880889892513, 6.001299909341653), (59.90280889892513, 6.001299909341653), (59.90280889892513, 6.005299909341653), (59.90280889892513, 6.009299909341652), (59.90280889892513, 6.013299909341652), (59.90680889892513, 6.001299909341653), (59.90680889892513, 6.005299909341653), (59.90680889892513, 6.009299909341652), (59.90680889892513, 6.013299909341652), (59.910808898925126, 6.013299909341652)]"
Lindås,"[(60.69869791891466, 5.2971361504020145), (60.70269791891466, 5.2971361504020145), (60.70269791891466, 5.301136150402014), (60.70269791891466, 5.305136150402014), (60.70269791891466, 5.309136150402013), (60.70669791891466, 5.2971361504020145), (60.70669791891466, 5.301136150402014), (60.70669791891466, 5.305136150402014), (60.70669791891466, 5.309136150402013), (60.710697918914654, 5.309136150402013)]"
Masfjorden,"[(60.997344667607585, 5.298503393295125), (61.00134466760758, 5.298503393295125), (61.00134466760758, 5.302503393295124), (61.00134466760758, 5.306503393295124), (61.00134466760758, 5.310503393295123), (61.00534466760758, 5.298503393295125), (61.00534466760758, 5.302503393295124), (61.00534466760758, 5.306503393295124), (61.00534466760758, 5.310503393295123), (61.00934466760758, 5.310503393295123)]"
Meland,"[(60.59499220444004, 4.997308116066726), (60.59899220444004, 4.997308116066726), (60.59899220444004, 5.001308116066726), (60.59899220444004, 5.005308116066725), (60.59899220444004, 5.009308116066725), (60.602992204440035, 4.997308116066726), (60.602992204440035, 5.001308116066726), (60.602992204440035, 5.005308116066725), (60.602992204440035, 5.009308116066725), (60.60699220444003, 5.009308116066725)]"
Modalen,"[(60.79041490479153, 5.694806095586389), (60.79441490479153, 5.694806095586389), (60.79441490479153, 5.698806095586389), (60.79441490479153, 5.702806095586388), (60.79441490479153, 5.706806095586388), (60.79841490479153, 5.694806095586389), (60.79841490479153, 5.698806095586389), (60.79841490479153, 5.702806095586388), (60.79841490479153, 5.706806095586388), (60.802414904791526, 5.706806095586388)]"
Odda,"[(60.09403748750676, 6.490419480189214), (60.09803748750676, 6.490419480189214), (60.09803748750676, 6.4944194801892134), (60.09803748750676, 6.498419480189213), (60.09803748750676, 6.502419480189213), (60.102037487506756, 6.490419480189214), (60.102037487506756, 6.4944194801892134), (60.102037487506756, 6.498419480189213), (60.102037487506756, 6.502419480189213), (60.106037487506754, 6.502419480189213)]"
Osterøy,"[(60.49421211157485, 5.597213643328221), (60.49821211157485, 5.597213643328221), (60.49821211157485, 5.6012136433282205), (60.49821211157485, 5.60521364332822), (60.49821211157485, 5.60921364332822), (60.50221211157485, 5.597213643328221), (60.50221211157485, 5.6012136433282205), (60.50221211157485, 5.60521364332822), (60.50221211157485, 5.60921364332822), (60.50621211157485, 5.60921364332822)]"
Voss,"[(60.593578439369196, 6.395129522193995), (60.597578439369194, 6.395129522193995), (60.597578439369194, 6.399129522193995), (60.597578439369194, 6.403129522193995), (60.597578439369194, 6.407129522193994), (60.60157843936919, 6.395129522193995), (60.60157843936919, 6.399129522193995), (60.60157843936919, 6.403129522193995), (60.60157843936919, 6.407129522193994), (60.60557843936919, 6.407129522193994)]"
Askvoll,"[(61.34180828885681, 5.059197590342377), (61.34580828885681, 5.059197590342377), (61.34580828885681, 5.0631975903423765), (61.34580828885681, 5.067197590342376), (61.34580828885681, 5.071197590342376), (61.349808288856806, 5.059197590342377), (61.349808288856806, 5.0631975903423765), (61.349808288856806, 5.067197590342376), (61.349808288856806, 5.071197590342376), (61.353808288856804, 5.071197590342376)]"
Aurland,"[(60.89493811740303, 7.1845793332252565), (60.89893811740303, 7.1845793332252565), (60.89893811740303, 7.188579333225256), (60.89893811740303, 7.192579333225256), (60.89893811740303, 7.196579333225255), (60.902938117403025, 7.1845793332252565), (60.902938117403025, 7.188579333225256), (60.902938117403025, 7.192579333225256), (60.902938117403025, 7.196579333225255), (60.90693811740302, 7.196579333225255)]"
Balestrand,"[(61.19819091063639, 6.5290778731219), (61.20219091063639, 6.5290778731219), (61.20219091063639, 6.5330778731219), (61.20219091063639, 6.537077873121899), (61.20219091063639, 6.541077873121899), (61.20619091063639, 6.5290778731219), (61.20619091063639, 6.5330778731219), (61.20619091063639, 6.537077873121899), (61.20619091063639, 6.541077873121899), (61.210190910636385, 6.541077873121899)]"
Jostedalsbreen – nær,"[(61.679680228133776, 6.871807315217357), (61.683680228133774, 6.871807315217357), (61.683680228133774, 6.875807315217356), (61.683680228133774, 6.879807315217356), (61.683680228133774, 6.883807315217355), (61.68768022813377, 6.871807315217357), (61.68768022813377, 6.875807315217356), (61.68768022813377, 6.879807315217356), (61.68768022813377, 6.883807315217355), (61.69168022813377, 6.883807315217355)]"
Bremanger,"[(61.836225924017135, 5.261925151369662), (61.84022592401713, 5.261925151369662), (61.84022592401713, 5.265925151369662), (61.84022592401713, 5.269925151369661), (61.84022592401713, 5.273925151369661), (61.84422592401713, 5.261925151369662), (61.84422592401713, 5.265925151369662), (61.84422592401713, 5.269925151369661), (61.84422592401713, 5.273925151369661), (61.84822592401713, 5.273925151369661)]"
Eid,"[(61.9042042691324, 5.98816220896122), (61.9082042691324, 5.98816220896122), (61.9082042691324, 5.992162208961219), (61.9082042691324, 5.996162208961219), (61.9082042691324, 6.0001622089612185), (61.912204269132395, 5.98816220896122), (61.912204269132395, 5.992162208961219), (61.912204269132395, 5.996162208961219), (61.912204269132395, 6.0001622089612185), (61.91620426913239, 6.0001622089612185)]"
Fjaler,"[(61.358333437640304, 5.412114244456072), (61.3623334376403, 5.412114244456072), (61.3623334376403, 5.416114244456072), (61.3623334376403, 5.420114244456071), (61.3623334376403, 5.424114244456071), (61.3663334376403, 5.412114244456072), (61.3663334376403, 5.416114244456072), (61.3663334376403, 5.420114244456071), (61.3663334376403, 5.424114244456071), (61.3703334376403, 5.424114244456071)]"
Flora,"[(61.59347957169197, 5.034899453917901), (61.59747957169197, 5.034899453917901), (61.59747957169197, 5.0388994539179), (61.59747957169197, 5.0428994539179), (61.59747957169197, 5.0468994539178995), (61.60147957169197, 5.034899453917901), (61.60147957169197, 5.0388994539179), (61.60147957169197, 5.0428994539179), (61.60147957169197, 5.0468994539178995), (61.605479571691966, 5.0468994539178995)]"
Førde,"[(61.44352691031407, 5.858064268704372), (61.44752691031407, 5.858064268704372), (61.44752691031407, 5.862064268704372), (61.44752691031407, 5.866064268704371), (61.44752691031407, 5.870064268704371), (61.451526910314065, 5.858064268704372), (61.451526910314065, 5.862064268704372), (61.451526910314065, 5.866064268704371), (61.451526910314065, 5.870064268704371), (61.45552691031406, 5.870064268704371)]"
Gaular,"[(61.38645680587494, 5.950270091080621), (61.39045680587494, 5.950270091080621), (61.39045680587494, 5.9542700910806206), (61.39045680587494, 5.95827009108062), (61.39045680587494, 5.96227009108062), (61.39445680587494, 5.950270091080621), (61.39445680587494, 5.9542700910806206), (61.39445680587494, 5.95827009108062), (61.39445680587494, 5.96227009108062), (61.398456805874936, 5.96227009108062)]"
Gloppen,"[(61.764455467658436, 6.201077603377995), (61.768455467658434, 6.201077603377995), (61.768455467658434, 6.205077603377995), (61.768455467658434, 6.209077603377994), (61.768455467658434, 6.213077603377994), (61.77245546765843, 6.201077603377995), (61.77245546765843, 6.205077603377995), (61.77245546765843, 6.209077603377994), (61.77245546765843, 6.213077603377994), (61.77645546765843, 6.213077603377994)]"
Gulen,"[(60.98051911196113, 5.191926255597766), (60.98451911196113, 5.191926255597766), (60.98451911196113, 5.195926255597765), (60.98451911196113, 5.199926255597765), (60.98451911196113, 5.203926255597764), (60.988519111961125, 5.191926255597766), (60.988519111961125, 5.195926255597765), (60.988519111961125, 5.199926255597765), (60.988519111961125, 5.203926255597764), (60.99251911196112, 5.203926255597764)]"
Hornindal,"[(62.00123014055437, 6.516762651376007), (62.00523014055437, 6.516762651376007), (62.00523014055437, 6.520762651376007), (62.00523014055437, 6.524762651376006), (62.00523014055437, 6.528762651376006), (62.009230140554365, 6.516762651376007), (62.009230140554365, 6.520762651376007), (62.009230140554365, 6.524762651376006), (62.009230140554365, 6.528762651376006), (62.01323014055436, 6.528762651376006)]"
Hyllestad,"[(61.26812350069755, 5.289514175612138), (61.272123500697546, 5.289514175612138), (61.272123500697546, 5.293514175612137), (61.272123500697546, 5.297514175612137), (61.272123500697546, 5.3015141756121364), (61.276123500697544, 5.289514175612138), (61.276123500697544, 5.293514175612137), (61.276123500697544, 5.297514175612137), (61.276123500697544, 5.3015141756121364), (61.28012350069754, 5.3015141756121364)]"
Høyanger,"[(61.214026521102184, 6.075162471177533), (61.21802652110218, 6.075162471177533), (61.21802652110218, 6.079162471177533), (61.21802652110218, 6.083162471177532), (61.21802652110218, 6.087162471177532), (61.22202652110218, 6.075162471177533), (61.22202652110218, 6.079162471177533), (61.22202652110218, 6.083162471177532), (61.22202652110218, 6.087162471177532), (61.22602652110218, 6.087162471177532)]"
Jølster,"[(61.559195369657644, 6.240730703861849), (61.56319536965764, 6.240730703861849), (61.56319536965764, 6.2447307038618485), (61.56319536965764, 6.248730703861848), (61.56319536965764, 6.252730703861848), (61.56719536965764, 6.240730703861849), (61.56719536965764, 6.2447307038618485), (61.56719536965764, 6.248730703861848), (61.56719536965764, 6.252730703861848), (61.57119536965764, 6.252730703861848)]"
Leikanger,"[(61.180855987557266, 6.833034537147816), (61.18485598755726, 6.833034537147816), (61.18485598755726, 6.837034537147815), (61.18485598755726, 6.841034537147815), (61.18485598755726, 6.845034537147814), (61.18885598755726, 6.833034537147816), (61.18885598755726, 6.837034537147815), (61.18885598755726, 6.841034537147815), (61.18885598755726, 6.845034537147814), (61.19285598755726, 6.845034537147814)]"
Luster,"[(61.48906085936004, 7.318344043123763), (61.493060859360035, 7.318344043123763), (61.493060859360035, 7.3223440431237625), (61.493060859360035, 7.326344043123762), (61.493060859360035, 7.330344043123762), (61.49706085936003, 7.318344043123763), (61.49706085936003, 7.3223440431237625), (61.49706085936003, 7.326344043123762), (61.49706085936003, 7.330344043123762), (61.50106085936003, 7.330344043123762)]"
Lærdal,"[(61.09174583720684, 7.471258761813131), (61.095745837206834, 7.471258761813131), (61.095745837206834, 7.475258761813131), (61.095745837206834, 7.4792587618131305), (61.095745837206834, 7.48325876181313), (61.09974583720683, 7.471258761813131), (61.09974583720683, 7.475258761813131), (61.09974583720683, 7.4792587618131305), (61.09974583720683, 7.48325876181313), (61.10374583720683, 7.48325876181313)]"
Naustdal,"[(61.506851906192985, 5.7257679334671225), (61.51085190619298, 5.7257679334671225), (61.51085190619298, 5.729767933467122), (61.51085190619298, 5.733767933467122), (61.51085190619298, 5.737767933467121), (61.51485190619298, 5.7257679334671225), (61.51485190619298, 5.729767933467122), (61.51485190619298, 5.733767933467122), (61.51485190619298, 5.737767933467121), (61.51885190619298, 5.737767933467121)]"
Selje,"[(62.04155996315003, 5.349946484327147), (62.045559963150026, 5.349946484327147), (62.045559963150026, 5.353946484327147), (62.045559963150026, 5.3579464843271465), (62.045559963150026, 5.361946484327146), (62.049559963150024, 5.349946484327147), (62.049559963150024, 5.353946484327147), (62.049559963150024, 5.3579464843271465), (62.049559963150024, 5.361946484327146), (62.05355996315002, 5.361946484327146)]"
Sogndal,"[(61.224003233678005, 7.102634980006862), (61.228003233678, 7.102634980006862), (61.228003233678, 7.106634980006862), (61.228003233678, 7.110634980006862), (61.228003233678, 7.114634980006861), (61.232003233678, 7.102634980006862), (61.232003233678, 7.106634980006862), (61.232003233678, 7.110634980006862), (61.232003233678, 7.114634980006861), (61.236003233678, 7.114634980006861)]"
Fjærland og Sogndalsdalen,"[(61.39299093071914, 6.758548413780053), (61.396990930719134, 6.758548413780053), (61.396990930719134, 6.762548413780053), (61.396990930719134, 6.766548413780052), (61.396990930719134, 6.770548413780052), (61.40099093071913, 6.758548413780053), (61.40099093071913, 6.762548413780053), (61.40099093071913, 6.766548413780052), (61.40099093071913, 6.770548413780052), (61.40499093071913, 6.770548413780052)]"
Solund,"[(61.08862362439718, 4.821609731499997), (61.09262362439718, 4.821609731499997), (61.09262362439718, 4.825609731499997), (61.09262362439718, 4.829609731499996), (61.09262362439718, 4.833609731499996), (61.096623624397175, 4.821609731499997), (61.096623624397175, 4.825609731499997), (61.096623624397175, 4.829609731499996), (61.096623624397175, 4.833609731499996), (61.10062362439717, 4.833609731499996)]"
Stryn,"[(61.89616620170708, 6.718371240468541), (61.90016620170708, 6.718371240468541), (61.90016620170708, 6.722371240468541), (61.90016620170708, 6.7263712404685405), (61.90016620170708, 6.73037124046854), (61.90416620170708, 6.718371240468541), (61.90416620170708, 6.722371240468541), (61.90416620170708, 6.7263712404685405), (61.90416620170708, 6.73037124046854), (61.908166201707076, 6.73037124046854)]"
Vik,"[(61.066136998198985, 6.583242860445792), (61.07013699819898, 6.583242860445792), (61.07013699819898, 6.587242860445792), (61.07013699819898, 6.591242860445791), (61.07013699819898, 6.595242860445791), (61.07413699819898, 6.583242860445792), (61.07413699819898, 6.587242860445792), (61.07413699819898, 6.591242860445791), (61.07413699819898, 6.595242860445791), (61.07813699819898, 6.595242860445791)]"
Vågsøy,"[(61.924078348813296, 5.099270454469107), (61.928078348813294, 5.099270454469107), (61.928078348813294, 5.103270454469107), (61.928078348813294, 5.1072704544691065), (61.928078348813294, 5.111270454469106), (61.93207834881329, 5.099270454469107), (61.93207834881329, 5.103270454469107), (61.93207834881329, 5.1072704544691065), (61.93207834881329, 5.111270454469106), (61.93607834881329, 5.111270454469106)]"
Aukra,"[(62.78288003037663, 6.902722546156599), (62.78688003037663, 6.902722546156599), (62.78688003037663, 6.906722546156598), (62.78688003037663, 6.910722546156598), (62.78688003037663, 6.9147225461565975), (62.79088003037663, 6.902722546156599), (62.79088003037663, 6.906722546156598), (62.79088003037663, 6.910722546156598), (62.79088003037663, 6.9147225461565975), (62.794880030376625, 6.9147225461565975)]"
Aure,"[(63.262906889363514, 8.509844650896536), (63.26690688936351, 8.509844650896536), (63.26690688936351, 8.513844650896536), (63.26690688936351, 8.517844650896535), (63.26690688936351, 8.521844650896535), (63.27090688936351, 8.505844650896536), (63.27090688936351, 8.509844650896536), (63.27090688936351, 8.513844650896536), (63.27090688936351, 8.517844650896535), (63.27090688936351, 8.521844650896535), (63.27490688936351, 8.521844650896535)]"
Averøy,"[(63.032078391341216, 7.489223305098369), (63.03607839134121, 7.489223305098369), (63.03607839134121, 7.493223305098368), (63.03607839134121, 7.497223305098368), (63.03607839134121, 7.501223305098367), (63.04007839134121, 7.489223305098369), (63.04007839134121, 7.493223305098368), (63.04007839134121, 7.497223305098368), (63.04007839134121, 7.501223305098367), (63.04407839134121, 7.501223305098367)]"
Eide,"[(62.90905165831126, 7.382385954676792), (62.91305165831126, 7.382385954676792), (62.91305165831126, 7.386385954676792), (62.91305165831126, 7.390385954676791), (62.91305165831126, 7.394385954676791), (62.91705165831126, 7.382385954676792), (62.91705165831126, 7.386385954676792), (62.91705165831126, 7.390385954676791), (62.91705165831126, 7.394385954676791), (62.92105165831126, 7.394385954676791)]"
Fræna,"[(62.87618854674464, 7.114182598890661), (62.88018854674464, 7.114182598890661), (62.88018854674464, 7.118182598890661), (62.88018854674464, 7.12218259889066), (62.88018854674464, 7.12618259889066), (62.88418854674464, 7.114182598890661), (62.88418854674464, 7.118182598890661), (62.88418854674464, 7.12218259889066), (62.88418854674464, 7.12618259889066), (62.88818854674464, 7.12618259889066)]"
Giske,"[(62.49414408969943, 6.024337467620226), (62.49814408969943, 6.024337467620226), (62.49814408969943, 6.028337467620226), (62.49814408969943, 6.032337467620225), (62.49814408969943, 6.036337467620225), (62.50214408969943, 6.024337467620226), (62.50214408969943, 6.028337467620226), (62.50214408969943, 6.032337467620225), (62.50214408969943, 6.036337467620225), (62.506144089699426, 6.036337467620225)]"
Gjemnes,"[(62.966304247774396, 7.783667200544186), (62.97030424777439, 7.783667200544186), (62.97030424777439, 7.787667200544186), (62.97030424777439, 7.791667200544185), (62.97030424777439, 7.795667200544185), (62.97430424777439, 7.783667200544186), (62.97430424777439, 7.787667200544186), (62.97430424777439, 7.791667200544185), (62.97430424777439, 7.795667200544185), (62.97830424777439, 7.795667200544185)]"
Halsa,"[(63.0618537715303, 8.256809944077533), (63.0658537715303, 8.256809944077533), (63.0658537715303, 8.260809944077533), (63.0658537715303, 8.264809944077532), (63.0658537715303, 8.268809944077532), (63.0698537715303, 8.256809944077533), (63.0698537715303, 8.260809944077533), (63.0698537715303, 8.264809944077532), (63.0698537715303, 8.268809944077532), (63.073853771530295, 8.268809944077532)]"
Haram,"[(62.661048060981805, 6.523778908442812), (62.6650480609818, 6.523778908442812), (62.6650480609818, 6.527778908442811), (62.6650480609818, 6.531778908442811), (62.6650480609818, 6.53577890844281), (62.6690480609818, 6.523778908442812), (62.6690480609818, 6.527778908442811), (62.6690480609818, 6.531778908442811), (62.6690480609818, 6.53577890844281), (62.6730480609818, 6.53577890844281)]"
Hareid,"[(62.358669607011606, 6.026223909918353), (62.362669607011604, 6.026223909918353), (62.362669607011604, 6.0302239099183526), (62.362669607011604, 6.034223909918352), (62.362669607011604, 6.038223909918352), (62.3666696070116, 6.026223909918353), (62.3666696070116, 6.0302239099183526), (62.3666696070116, 6.034223909918352), (62.3666696070116, 6.038223909918352), (62.3706696070116, 6.038223909918352)]"
Herøy,"[(65.99290275221249, 12.279811740753097), (65.99290275221249, 12.283811740753096), (65.99290275221249, 12.287811740753096), (65.99290275221249, 12.291811740753095), (65.99290275221249, 12.295811740753095), (65.99690275221249, 12.279811740753097), (65.99690275221249, 12.283811740753096), (65.99690275221249, 12.287811740753096), (65.99690275221249, 12.291811740753095), (65.99690275221249, 12.295811740753095)]"
Kristiansund,"[(63.10775540207496, 7.728527763835529), (63.111755402074955, 7.728527763835529), (63.111755402074955, 7.732527763835528), (63.111755402074955, 7.736527763835528), (63.111755402074955, 7.740527763835527), (63.11575540207495, 7.728527763835529), (63.11575540207495, 7.732527763835528), (63.11575540207495, 7.736527763835528), (63.11575540207495, 7.740527763835527), (63.11975540207495, 7.740527763835527)]"
Midsund,"[(62.67266050618184, 6.7169387192536885), (62.67666050618184, 6.7169387192536885), (62.67666050618184, 6.720938719253688), (62.67666050618184, 6.724938719253688), (62.67666050618184, 6.728938719253687), (62.68066050618184, 6.7169387192536885), (62.68066050618184, 6.720938719253688), (62.68066050618184, 6.724938719253688), (62.68066050618184, 6.728938719253687), (62.684660506181835, 6.728938719253687)]"
Molde,"[(62.733929916766776, 7.152363799303596), (62.737929916766774, 7.152363799303596), (62.737929916766774, 7.156363799303596), (62.737929916766774, 7.160363799303595), (62.737929916766774, 7.164363799303595), (62.74192991676677, 7.152363799303596), (62.74192991676677, 7.156363799303596), (62.74192991676677, 7.160363799303595), (62.74192991676677, 7.164363799303595), (62.74592991676677, 7.164363799303595)]"
Nesset,"[(62.723593175374, 8.15756274798935), (62.727593175374, 8.15756274798935), (62.727593175374, 8.16156274798935), (62.727593175374, 8.16556274798935), (62.727593175374, 8.16956274798935), (62.731593175373995, 8.15756274798935), (62.731593175373995, 8.16156274798935), (62.731593175373995, 8.16556274798935), (62.731593175373995, 8.16956274798935), (62.73559317537399, 8.16956274798935)]"
Norddal,"[(62.25155236902569, 7.240044388940895), (62.255552369025686, 7.240044388940895), (62.255552369025686, 7.244044388940894), (62.255552369025686, 7.248044388940894), (62.255552369025686, 7.252044388940893), (62.259552369025684, 7.240044388940895), (62.259552369025684, 7.244044388940894), (62.259552369025684, 7.248044388940894), (62.259552369025684, 7.252044388940893), (62.26355236902568, 7.252044388940893)]"
Rauma,"[(62.555557666761324, 7.688381581930607), (62.55955766676132, 7.688381581930607), (62.55955766676132, 7.692381581930607), (62.55955766676132, 7.6963815819306065), (62.55955766676132, 7.700381581930606), (62.56355766676132, 7.688381581930607), (62.56355766676132, 7.692381581930607), (62.56355766676132, 7.6963815819306065), (62.56355766676132, 7.700381581930606), (62.56755766676132, 7.700381581930606)]"
Rindal,"[(63.04446214079426, 9.194442249588853), (63.04446214079426, 9.198442249588853), (63.04446214079426, 9.202442249588852), (63.04446214079426, 9.206442249588852), (63.04846214079426, 9.194442249588853), (63.04846214079426, 9.198442249588853), (63.04846214079426, 9.202442249588852), (63.04846214079426, 9.206442249588852)]"
Sandøy,"[(62.77939325266701, 6.390936443326571), (62.78339325266701, 6.390936443326571), (62.78339325266701, 6.3949364433265705), (62.78339325266701, 6.39893644332657), (62.78339325266701, 6.40293644332657), (62.78739325266701, 6.390936443326571), (62.78739325266701, 6.3949364433265705), (62.78739325266701, 6.39893644332657), (62.78739325266701, 6.40293644332657), (62.79139325266701, 6.40293644332657)]"
Skodje,"[(62.473809036184385, 6.713884675876372), (62.47780903618438, 6.713884675876372), (62.47780903618438, 6.7178846758763715), (62.47780903618438, 6.721884675876371), (62.47780903618438, 6.725884675876371), (62.48180903618438, 6.713884675876372), (62.48180903618438, 6.7178846758763715), (62.48180903618438, 6.721884675876371), (62.48180903618438, 6.725884675876371), (62.48580903618438, 6.725884675876371)]"
Smøla,"[(63.43637387682244, 7.987342464816164), (63.440373876822434, 7.987342464816164), (63.440373876822434, 7.991342464816164), (63.440373876822434, 7.995342464816163), (63.440373876822434, 7.999342464816163), (63.44437387682243, 7.983342464816165), (63.44437387682243, 7.987342464816164), (63.44437387682243, 7.991342464816164), (63.44437387682243, 7.995342464816163), (63.44437387682243, 7.999342464816163), (63.44837387682243, 7.999342464816163)]"
Stordal,"[(62.378214256539714, 7.246019116312013), (62.38221425653971, 7.246019116312013), (62.38221425653971, 7.2500191163120125), (62.38221425653971, 7.254019116312012), (62.38221425653971, 7.258019116312012), (62.38621425653971, 7.246019116312013), (62.38621425653971, 7.2500191163120125), (62.38621425653971, 7.254019116312012), (62.38621425653971, 7.258019116312012), (62.39021425653971, 7.258019116312012)]"
Stranda,"[(62.315170482861326, 6.932535328190214), (62.319170482861324, 6.932535328190214), (62.319170482861324, 6.936535328190214), (62.319170482861324, 6.940535328190213), (62.319170482861324, 6.944535328190213), (62.32317048286132, 6.932535328190214), (62.32317048286132, 6.936535328190214), (62.32317048286132, 6.940535328190213), (62.32317048286132, 6.944535328190213), (62.32717048286132, 6.944535328190213)]"
Sula,"[(62.385021794233886, 6.154615242596389), (62.389021794233884, 6.154615242596389), (62.389021794233884, 6.1586152425963885), (62.389021794233884, 6.162615242596388), (62.389021794233884, 6.166615242596388), (62.39302179423388, 6.154615242596389), (62.39302179423388, 6.1586152425963885), (62.39302179423388, 6.162615242596388), (62.39302179423388, 6.166615242596388), (62.39702179423388, 6.166615242596388)]"
Sunndal,"[(62.665779414054086, 8.563823130124375), (62.665779414054086, 8.567823130124374), (62.665779414054086, 8.571823130124374), (62.665779414054086, 8.575823130124373), (62.669779414054084, 8.563823130124375), (62.669779414054084, 8.567823130124374), (62.669779414054084, 8.571823130124374), (62.669779414054084, 8.575823130124373)]"
Surnadal,"[(62.97966724343275, 8.732267417321177), (62.97966724343275, 8.736267417321177), (62.97966724343275, 8.740267417321176), (62.97966724343275, 8.744267417321176), (62.98366724343275, 8.732267417321177), (62.98366724343275, 8.736267417321177), (62.98366724343275, 8.740267417321176), (62.98366724343275, 8.744267417321176)]"
Sykkylven,"[(62.375761668579806, 6.585508753388254), (62.3797616685798, 6.585508753388254), (62.3797616685798, 6.5895087533882535), (62.3797616685798, 6.593508753388253), (62.3797616685798, 6.597508753388253), (62.3837616685798, 6.585508753388254), (62.3837616685798, 6.5895087533882535), (62.3837616685798, 6.593508753388253), (62.3837616685798, 6.597508753388253), (62.3877616685798, 6.597508753388253)]"
Tingvoll,"[(62.91453744209982, 8.191974221387952), (62.91853744209982, 8.191974221387952), (62.91853744209982, 8.195974221387951), (62.91853744209982, 8.19997422138795), (62.91853744209982, 8.20397422138795), (62.92253744209982, 8.191974221387952), (62.92253744209982, 8.195974221387951), (62.92253744209982, 8.19997422138795), (62.92253744209982, 8.20397422138795), (62.926537442099814, 8.20397422138795)]"
