Municipality,Elevation
Øyer,"[187.3251190185547, 160.7822265625, 173.4293212890625, 188.5256805419922, 160, 181.1267852783203, 222.8081207275391, 254.0066223144531]"
Øystre Slidre,"[824.5215454101562, 846.599853515625, 864.5669555664062, 876.6831665039062, 858.0612182617188, 870.5133056640625, 880.8910522460938, 885.6312866210938]"
Drammen,"[9.693305015563965, 17.96932601928711, 31.0958251953125, 46.42384338378906, 107.8923034667969, 111.6320114135742, 124.7509078979492, 113.3251342773438]"
Flesberg,"[206.7205200195312, 201.1051330566406, 199.1092681884766, 216.8506927490234, 205.298095703125, 222.7896270751953, 230.8860168457031, 241.6258392333984]"
Flå,"[132.3014678955078, 135, 131.0476989746094, 129.8266754150391, 135, 134.2177886962891, 132.2104797363281, 137.4969024658203]"
Gol,"[232.8839569091797, 231.8839569091797, 231.8839569091797, 231.2065277099609, 267.3248901367188, 270.352783203125, 277.1243286132812, 289.2392883300781]"
Hemsedal,"[627.5807495117188, 624.322998046875, 623.192626953125, 621.6517944335938, 634.0673828125, 646.8822021484375, 657.6766967773438, 657.4661254882812]"
Hol,"[816.6215209960938, 836.36767578125, 844.3465576171875, 855.293701171875, 763.5438842773438, 799.5132446289062, 817.784912109375, 837.2973022460938]"
Hole,"[63, 63, 63.30378723144531, 65.68209075927734, 72.30606079101562, 63.50891876220703, 67.38605499267578, 86.7370834350586]"
Hurum,"[177.263671875, 260.1308898925781, 292.4890441894531, 287.3872680664062, 159.8389739990234, 236.7934722900391, 274.0307006835938, 292.654541015625]"
Kongsberg,"[169.0241088867188, 177.7809753417969, 178.8425445556641, 216.9776458740234, 196.6543731689453, 176.2853088378906, 191.5139617919922, 253.1954803466797]"
Krødsherad,"[233.1433715820312, 249.3028717041016, 271.0212097167969, 284.83349609375, 454.3893127441406, 445.2682800292969, 451.1701049804688, 471.5619201660156]"
Lier,"[285.1656799316406, 322.4721069335938, 311.2454833984375, 255.2282562255859, 305.7412414550781, 290.5887451171875, 288.2117614746094, 245.7045745849609]"
Modum,"[69.9398193359375, 68, 68, 87.19400787353516, 76.58526611328125, 68, 68.29965209960938, 78.72428894042969]"
Nedre Eiker,"[87.40843200683594, 66.48455810546875, 63.20090484619141, 51.13298416137695, 229.6304168701172, 170.353515625, 163.3765563964844, 150.2957611083984]"
Nore og Uvdal,"[584.47265625, 601.0947875976562, 608.8267822265625, 622.607666015625, 514.7220458984375, 517.8388671875, 527.1553955078125, 535.1884765625]"
Ringerike,"[91.50614929199219, 81.1951675415039, 78.09465789794922, 73.21417236328125, 108.5903396606445, 95.5220718383789, 97.40250396728516, 84.34735107421875]"
Rollag,"[448.6500244140625, 512.311767578125, 556.2847290039062, 612.98388671875, 491.8078308105469, 490.9931945800781, 537.52392578125, 589.9957275390625]"
Røyken,"[126.2643890380859, 130.3152770996094, 143.1719665527344, 143.9877471923828, 148.1996307373047, 122.6506423950195, 127.6856307983398, 170.9954528808594]"
Sigdal,"[132.4937591552734, 132, 132, 132, 137.8844757080078, 140.1674957275391, 133.7914276123047, 153.1901092529297]"
Øvre Eiker,"[14.40800285339355, 2, 6.657475471496582, 10.50773811340332, 32.52905654907227, 12.49922180175781, 10.31864166259766, 14.23511409759521]"
Ål,"[462.2031860351562, 457.3777465820312, 450.6043090820312, 442.9714965820312, 553.32275390625, 557.8654174804688, 531.6231689453125, 487.67626953125]"
Hof,"[41.96721267700195, 37, 37.05668640136719, 43.22784805297852, 39.47319030761719, 66.93699645996094, 137.1220550537109, 180.1600952148438]"
Holmestrand,"[53.81579971313477, 7.578479290008545, 0, 4.714169502258301, 7.801412582397461, 0.006481751799583435, 0, 0]"
