Municipality,Elevation
Lyngen,"[27.39120101928711, 68.46308135986328, 72.08189392089844, 70.82855987548828, 62.41351699829102, 33.93209838867188, 15.08428287506104, 17.33713340759277, 13.07778835296631, 2.089811086654663, 0, 161.6365661621094, 167.19873046875]"
Målselv,"[44.77837753295898, 37.98361587524414, 39.49054718017578, 41.26526641845703, 40.96973419189453, 40.08642196655273, 30.48054885864258, 27.17247772216797, 28.17247772216797, 30.1149845123291, 35.81581497192383]"
Nordreisa,"[6, 4, 4, 4, 4, 8.079297065734863, 3.900424003601074, 3, 4, 6, 3.950649976730347, 2.721258401870728]"
Salangen,"[386.101806640625, 386.2423095703125, 377.857666015625, 358.4287414550781, 352.3708190917969, 459.5164184570312, 449.8652954101562, 437.8138427734375, 415.0018310546875, 415.1634826660156]"
Skjervøy,"[0, 72.2270278930664, 49.11777114868164, 32.34686660766602, 28.09511375427246, 172.3267517089844, 139.0519866943359, 122.780517578125, 86.52409362792969, 73.31478881835938, 0.1188842058181763, 24.05154418945312]"
Skånland,"[0.4641832113265991, 0.1787723004817963, 3.315930843353271, 10.12775611877441, 15.98339748382568, 0, 0, 3.034898996353149, 29.33741569519043, 32.70211029052734]"
Storfjord,"[437.5826416015625, 584.6484375, 538.77978515625, 509.6212463378906, 433.1659545898438, 358.5102233886719, 436.3092041015625, 356.7384338378906, 302.8995361328125, 267.4345092773438, 258.2886047363281, 279.06494140625, 267.7258605957031]"
Sørreisa,"[0, 0, 0, 1.607256412506104, 8.819474220275879, 0, 0, 0, 0.9885709881782532, 0.9885709881782532, 0]"
Torsken,"[-0.01315968297421932, -0.06599234789609909, -0.4661426842212677, -0.6319198608398438, -0.4619414806365967, -0.2280416190624237, -1.298380017280579, -3.174369812011719, -3.646812677383423, -2.954933881759644]"
Tranøy,"[130.8384552001953, 139.965576171875, 118.5065383911133, 96.68697357177734, 90.04821014404297, 100.211311340332, 103.1809539794922, 99.29270935058594, 78.84129333496094, 53.46530532836914]"
Tromsø,"[80.30369567871094, 76.79763793945312, 59.62862014770508, 45.98361206054688, 27.34918975830078, 100.8026885986328, 99.80268859863281, 90.76576232910156, 76.02291870117188, 58.46968078613281, 96.72676849365234]"
Alta,"[52.3029899597168, 58.74998474121094, 62.57715225219727, 65.08671569824219, 65.84569549560547, 0, 16.06879615783691, 39.48214340209961, 60.41559600830078, 66.36249542236328, 0, 0.08575469255447388]"
Berlevåg,"[0, 39.39215469360352, 24.70818138122559, 61.04755020141602, 57.89113235473633, 42.05180740356445, 39.04755020141602, 29.08379173278809, 36.38023376464844, 28.85940933227539, 19.9670581817627, 19.18955612182617, 0, 0]"
Båtsfjord,"[59.3458137512207, 14, 14.59030055999756, 7.769830226898193, 25.72296524047852, 50.79286956787109, 29.05017280578613, 0, 0, 0, 0, 0, 0, 0]"
Deanu/Tana,"[41.79986953735352, 52.92053604125977, 43.74993133544922, 116.8544921875, 75.5792007446289, 40.62794494628906, 40, 125.8880233764648, 85.42791748046875, 40, 38.05934143066406, 35.7673454284668, 36.71018600463867, 34.05138397216797]"
Gamvik,"[20.65723037719727, 37.37385940551758, 41.0361328125, 31.42597961425781, 33.15933227539062, 25.29121208190918, 30.88191223144531, 24.21146583557129, 22.37142753601074, 23.24533653259277, 17.26795959472656, 10.49902725219727, 23.7689323425293, 20.66305923461914, 20]"
Guovdageaidnu/Kautokeino,"[323.533935546875, 307.8387145996094, 311.6889038085938, 316.2860107421875, 317.5320434570312, 315.1890869140625, 302.7696228027344, 301.4042053222656, 301.4042053222656, 301.1222534179688, 319.6845397949219, 309.5543518066406]"
Hammerfest,"[106.7194900512695, 92.88248443603516, 23.52879333496094, 20.09697723388672, 29.62175750732422, 60.0877571105957, 0, 0, 0, 0, 0, 27.32086372375488, 43.99647521972656, 67.70231628417969]"
Hasvik,"[0, 15.27921390533447, 13.65946769714355, 12.41882133483887, 10.41882133483887, 7.281715393066406, 14.96850204467773, 16.75527763366699, 22.45670318603516, 31.24424934387207, 9.124369621276855, 19.58022117614746]"
Kárášjoga/Karasjok,"[123.3200454711914, 122.2651901245117, 122.7458419799805, 123.156135559082, 127.4563827514648, 133.0166168212891, 150.0459747314453, 151.0795745849609, 152.0795745849609, 153.0795745849609, 154.0795745849609, 157.8099975585938, 155.9049987792969]"
Kvalsund,"[62.40401077270508, 83.92294311523438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Lebesby,"[0.003155729500576854, 6.131244659423828, 2.85329794883728, 4.059050559997559, 9.915647506713867, 19.56649208068848, 8, 9.512731552124023, 20.65888214111328, 34.11009216308594, 54.73472595214844, 13.81971168518066, 29.36661148071289, 45.04605102539062]"
Loppa,"[322.01708984375, 78.84994506835938, 179.7043304443359, 293.7078247070312, 323.5487365722656, 21.37174606323242, 75.75889587402344, 185.7708892822266, 296.5031127929688, 358.9917297363281, 1.976544737815857, 38.69417953491211]"
Måsøy,"[57.11748886108398, 31, 0, 0, 0.1967748254537582, 0, 13.20125675201416, 17.73209381103516, 36.94412231445312, 68.98844909667969, 98.23783874511719, 20.25908279418945, 2.998103618621826, 7.151541709899902]"
Nordkapp,"[180.2232055664062, 59.36408615112305, 247.1294250488281, 145.4105377197266, 85.09937286376953, 87.53349304199219, 281.6239929199219, 292.484130859375, 299.8934936523438, 303.861328125, 301.5119323730469, 298.1039733886719, 301.107666015625, 308.5306396484375]"
Porsanger,"[22.88615989685059, 21, 23, 22, 20, 17, 20.99352645874023, 20, 17.23531532287598, 14.98789119720459, 11.99966907501221, 17, 16.16810417175293, 14]"
Sør-Varanger,"[66.81697082519531, 94.90338897705078, 58.21798706054688, 57, 57.69297790527344, 60.65460586547852, 67.34750366210938, 60.09475708007812, 59, 59.24469375610352, 80.80235290527344, 72.21491241455078, 79.40951538085938]"
Unjárga/Nesseby,"[-9.260210990905762, -0.2983967065811157, -0.338990718126297, 0, 0, 0, 1, 3.568411111831665, 7.254379272460938, 9.49315357208252, 12.1552562713623, 13.98630809783936, 17.78080558776855, 20.194580078125]"
Vadsø,"[10.61585426330566, 0.02553269453346729, 0, 0, 0, 0.01677010580897331, 1.922762393951416, 17.78536605834961, 21.62531089782715, 22.62531089782715, 22.6384220123291, 23.62531089782715, 31.10476303100586, 32.00887298583984]"
Vardø,"[1, 0.1605331003665924, 0.9859552979469299, 9.006735801696777, 19.79385185241699, 17.9859561920166, 0.4918856024742126, 0, 8.05385684967041, 20.07730484008789, 28.49115943908691, 0, 0.6367997527122498]"
