Municipality,SWE
Surnadal,"[75.5, 40.10000228881836, 147.8000030517578, 175.0]"
Sykkylven,"[25.5, 94.4000015258789, 74.5, 147.0]"
Tingvoll,"[39.10000228881836, 156.90000915527344, 292.8000183105469, 89.5]"
Ulstein,"[20.899999618530273, 108.0999984741211, 144.8000030517578, 116.0]"
Vanylven,[nan]
Vestnes,[nan]
Volda,"[16.5, 71.70000457763672, 105.0, 90.5999984741211]"
Ørskog,"[7.599999904632568, 66.0999984741211, 115.70000457763672, 127.0999984741211]"
Agdenes,[nan]
Bjugn,[nan]
Flatanger,[nan]
Fosnes,"[23.399999618530273, 100.0, 111.0999984741211, 99.4000015258789]"
Frosta,"[37.0, 113.4000015258789, 75.70000457763672, 80.0]"
Frøya,"[15.100000381469727, 56.70000076293945, 57.5, 164.10000610351562]"
Grong,"[81.4000015258789, 93.0, 435.8999938964844, 276.20001220703125]"
Hemne,"[25.700000762939453, 49.70000076293945, 115.5, 122.5]"
Hitra,"[22.0, 59.60000228881836, 76.5, 165.8000030517578]"
Holtålen,"[316.8999938964844, 80.30000305175781, 343.8000183105469, 298.1000061035156]"
Høylandet,"[45.900001525878906, 80.30000305175781, 125.20000457763672, 118.30000305175781]"
Inderøy,"[32.10000228881836, 91.0, 102.9000015258789, 105.80000305175781]"
Indre Fosen,"[199.1999969482422, 131.40000915527344, 528.1000366210938, 376.3000183105469]"
Klæbu,"[131.60000610351562, 98.4000015258789, 376.5, 332.3999938964844]"
Leka,"[36.79999923706055, 74.9000015258789, 124.80000305175781, 114.30000305175781]"
Levanger,"[25.399999618530273, 115.70000457763672, 54.10000228881836, 120.5]"
Lierne,"[858.9000244140625, 456.20001220703125, 657.2999877929688, 576.4000244140625]"
Malvik,"[14.100000381469727, 32.400001525878906, 39.900001525878906, 78.9000015258789]"
Meldal,"[115.0999984741211, 79.9000015258789, 565.2000122070312, 359.5]"
Meråker,"[78.5, 95.9000015258789, 119.5, 117.70000457763672]"
Midtre Gauldal,"[299.3999938964844, 118.0999984741211, 394.1000061035156, 313.8999938964844]"
Namsos,[nan]
Namsskogan,"[506.3999938964844, 229.5, 794.6000366210938, 414.0]"
Oppdal,"[147.6999969482422, 117.30000305175781, 539.1000366210938, 328.20001220703125]"
Selbu,"[34.70000076293945, 72.9000015258789, 171.10000610351562, 158.90000915527344]"
Trondheim,"[24.100000381469727, 58.70000076293945, 94.5999984741211, 94.0999984741211]"
Tydal,"[864.7999877929688, 375.5, 877.2999877929688, 476.5]"
Verdal,"[22.600000381469727, 106.9000015258789, 49.29999923706055, 97.80000305175781]"
Ørland,"[21.100000381469727, 71.20000457763672, 64.20000457763672, 113.30000305175781]"
Alstahaug,"[34.10000228881836, 63.70000076293945, 99.0999984741211, 109.30000305175781]"
Andøy,"[362.1000061035156, 262.70001220703125, 455.6000061035156, 232.6999969482422]"
Ballangen,"[81.5999984741211, 63.0, 189.60000610351562, 77.80000305175781]"
Beiarn,"[85.30000305175781, 88.5999984741211, 904.7999877929688, 90.70000457763672]"
Bindal,[nan]
Bodø,"[22.5, 66.30000305175781, 259.70001220703125, 58.29999923706055]"
Brønnøy,[nan]
Brønnøysund - kystlinjen,[nan]
Dønna,"[59.60000228881836, 83.20000457763672, 292.70001220703125, 87.5999984741211]"
Evenes,"[355.20001220703125, 111.0, 494.70001220703125, 232.90000915527344]"
Fauske,"[63.79999923706055, 46.79999923706055, 80.20000457763672, 62.70000076293945]"
Flakstad,"[274.8999938964844, 125.5999984741211, 509.6000061035156, 241.90000915527344]"
Gildeskål,"[39.29999923706055, 65.20000457763672, 259.3999938964844, 86.20000457763672]"
Grane,"[163.6999969482422, 108.0999984741211, 262.3999938964844, 274.70001220703125]"
Hadsel,[nan]
Hamarøy,"[80.0, 41.10000228881836, 126.0, 72.0999984741211]"
Hattfjelldal,"[418.8999938964844, 110.4000015258789, 306.70001220703125, 444.8999938964844]"
Hemnes,"[1207.4000244140625, 419.20001220703125, 1126.5999755859375, 693.6000366210938]"
Leirfjord,"[93.80000305175781, 142.5, 387.5, 201.1999969482422]"
Lurøy,[nan]
Lurøy - på fastlandet,[nan]
Lødingen,"[262.5, 100.0999984741211, 356.3000183105469, 219.10000610351562]"
Meløy,[nan]
Moskenes,"[1046.5, 327.20001220703125, 1300.300048828125, 1062.0]"
Narvik,"[161.40000915527344, 136.60000610351562, 234.40000915527344, 87.20000457763672]"
Nesna,"[42.0, 86.70000457763672, 238.60000610351562, 144.60000610351562]"
Rana,"[89.0999984741211, 80.4000015258789, 302.70001220703125, 123.9000015258789]"
Rødøy,[nan]
Røst,[nan]
Saltdal,"[937.0, 323.1000061035156, 765.4000244140625, 423.3999938964844]"
Sortland,"[188.6999969482422, 102.70000457763672, 394.1000061035156, 456.20001220703125]"
Steigen,"[62.900001525878906, 72.30000305175781, 205.40000915527344, 120.70000457763672]"
Sømna,"[31.5, 48.29999923706055, 100.9000015258789, 74.9000015258789]"
Sørfold,"[98.5999984741211, 51.60000228881836, 163.90000915527344, 113.30000305175781]"
Tjeldsund,"[1716.5999755859375, 842.4000244140625, 1971.5, 836.2000122070312]"
Træna,[nan]
Tysfjord,"[308.20001220703125, 65.80000305175781, 409.8999938964844, 292.6000061035156]"
Vefsn,"[104.70000457763672, 120.5, 211.60000610351562, 203.60000610351562]"
Vefsn - langs fjorden,"[104.70000457763672, 120.5, 211.60000610351562, 203.60000610351562]"
Vefsn - Mosjøen,"[41.0, 66.80000305175781, 163.5, 133.6999969482422]"
Vega,"[32.5, 56.0, 56.10000228881836, 87.30000305175781]"
Vestvågøy,"[362.70001220703125, 126.20000457763672, 531.7000122070312, 293.3999938964844]"
Vevelstad,[nan]
Værøy,"[101.80000305175781, 80.0, 215.3000030517578, 207.60000610351562]"
Vågan,"[2168.800048828125, 739.1000366210938, 1662.5999755859375, 1306.9000244140625]"
Øksnes,"[160.60000610351562, 176.0, 341.8999938964844, 461.20001220703125]"
Balsfjord,"[377.3999938964844, 119.30000305175781, 186.5, 262.0]"
Bardu,"[729.2000122070312, 140.6999969482422, 482.5, 231.3000030517578]"
Berg,[nan]
Dyrøy,"[392.70001220703125, 177.0, 524.4000244140625, 188.0]"
Gáivuona/Kåfjord,"[1201.800048828125, 356.6000061035156, 898.4000244140625, 671.6000366210938]"
Gratangen,"[1104.4000244140625, 749.1000366210938, 1799.300048828125, 884.0]"
Harstad,"[278.6000061035156, 141.0, 346.6000061035156, 170.6999969482422]"
Ibestad,"[733.7000122070312, 220.6999969482422, 380.5, 372.0]"
Karlsøy,[nan]
Kvæfjord,"[783.9000244140625, 213.1999969482422, 630.1000366210938, 469.20001220703125]"
Kvænangen,"[511.8000183105469, 210.8000030517578, 328.0, 253.8000030517578]"
Lavangen,"[824.6000366210938, 223.5, 654.7999877929688, 368.6000061035156]"
Lenvik,"[871.0, 393.8000183105469, 437.3000183105469, 628.7999877929688]"
Lyngen,"[270.5, 91.5999984741211, 353.0, 298.20001220703125]"
Målselv,"[648.6000366210938, 150.90000915527344, 320.5, 274.6000061035156]"
Nordreisa,"[115.4000015258789, 184.0, 509.70001220703125, 203.8000030517578]"
Salangen,"[949.6000366210938, 367.1000061035156, 905.7000122070312, 417.0]"
Skjervøy,[nan]
Skånland,[nan]
Storfjord,"[716.0, 410.70001220703125, 510.3000183105469, 600.7000122070312]"
Sørreisa,"[546.2000122070312, 191.8000030517578, 439.6000061035156, 245.5]"
Torsken,[nan]
Tranøy,"[329.0, 225.10000610351562, 439.8999938964844, 173.3000030517578]"
Tromsø,[nan]
Alta,"[458.3999938964844, 231.40000915527344, 241.60000610351562, 231.10000610351562]"
Berlevåg,"[385.1000061035156, 243.10000610351562, 467.6000061035156, 381.20001220703125]"
Båtsfjord,"[393.0, 319.1000061035156, 597.5, 284.8000183105469]"
Deanu/Tana,"[267.0, 156.3000030517578, 249.1999969482422, 171.6999969482422]"
Gamvik,"[397.6000061035156, 329.8999938964844, 392.70001220703125, 500.3999938964844]"
Guovdageaidnu/Kautokeino,"[237.8000030517578, 159.6999969482422, 225.6999969482422, 223.1999969482422]"
Hammerfest,"[453.0, 318.6000061035156, 260.8000183105469, 152.6999969482422]"
Hasvik,[nan]
Kárášjoga/Karasjok,"[354.70001220703125, 125.5999984741211, 268.3000183105469, 275.70001220703125]"
Kvalsund,"[668.7000122070312, 279.70001220703125, 179.6999969482422, 262.0]"
