Municipality,Latitude,Longitude,Beta
Lærdal,61.0992,7.4786,0.6456903761084805
Naustdal,61.5092,5.7271,0.9675245738804161
Sogndal,61.229,7.1034,1.2397011821251023
Solund,61.0918,4.8324,1.5636692559806948
Stryn,61.9018,6.7208,1.259111496695704
Vik,61.0674,6.5857,0.2934916355065509
Vågsøy,61.9357,5.1111,1.3012119004819374
Årdal,61.23825,7.72024,1.204335785746741
Sunnfjord,61.4929,5.54849,1.0295782597256693
Aukra,62.7922,6.9069,0.7639099729215229
Aure,63.2714,8.5233,1.3780922263032078
Averøy,63.0338,7.4897,1.2908564722395912
Hustadvika,62.9163,7.3958,1.213568752936125
Fræna,62.8851,7.1286,1.4151284839989886
Giske,62.50491,6.0465,0.9574672918134395
Gjemnes,62.9667,7.7852,1.2899750187631955
Halsa,63.0694,8.2603,1.4286736845557595
Haram,62.59971,6.4387,0.6748834035378635
Hareid,62.3667,6.025,1.0994229155747366
Herøy,65.9917,12.2833,1.2161194319633313
Kristiansund,63.1104,7.7279,1.526396868719647
Midsund,62.6766,6.7265,0.6721325100966835
Molde,62.7375,7.1591,1.1335022089548472
Nesset,62.7325,8.1725,-0.24150578536843703
Norddal,62.2631,7.2497,0.08838004030423363
Rauma,62.5667,7.7,1.0958542167182443
Rindal,63.05,9.2,1.2876335327859691
Skodje,62.4833,6.7167,1.182060651989569
Smøla,63.44,8.0,1.7128954916650083
Stordal,62.3833,7.25,0.3109904945736468
Stranda,62.3167,6.9333,0.9732806020078817
Sula,61.1159,4.96715,1.8278628700043642
Sunndal,62.6667,8.5667,1.0631491275979097
Surnadal,62.9833,8.7333,0.7876637687862567
Sykkylven,62.3833,6.5833,1.5808081369414757
Tingvoll,62.9167,8.2,1.2798179102030014
Ulstein,62.346,5.844,0.6857604363149612
Vanylven,62.10641,5.56983,0.7794264704330645
Vestnes,62.62959,7.08469,0.6290614351167356
Volda,62.1444,6.0736,1.2533279250950615
Ørskog,62.4667,6.7833,0.9356767485039983
Fjord,62.3051,7.26369,1.6157082355572356
Ørsta,62.19982,6.12905,0.9222537428540143
Ålesund,62.47478,6.1865,1.1081410533411993
Flatanger,64.50182,10.89724,1.0121914210944176
Fosnes,64.6753,11.2886,1.5106551923801783
Frosta,63.5833,10.7667,1.2388499897798395
Frøya,63.7256,8.8347,1.2639545955238138
Grong,64.4561,12.3122,0.6128838760538362
Heim,63.2903,9.0919,1.733297622550789
Hitra,63.6033,8.9708,1.2011561689676578
Holtålen,62.84,11.3003,-0.005445226505158551
Høylandet,64.6323,12.3029,1.2365989210404118
Inderøy,63.8756,11.2914,1.8506501312194383
Indre Fosen,63.5804,10.2241,0.24453654424856897
Klæbu,63.3161,10.3947,0.47923636089587296
Leka,65.0994,11.6528,0.9714969619105327
Levanger,63.7461,11.2994,1.993304373697831
Lierne,64.4742,13.6019,-1.0068222509940923
Malvik,63.4211,10.8072,1.3704471561278817
Orkland,63.0561,9.7122,0.8846293195320625
Meråker,63.4247,11.7444,1.727983798153058
Midtre Gauldal,62.9525,10.4867,0.1592401445082796
Namsos - Nåavmesjenjaelmie,64.47119,11.50364,1.2255243222523173
Namsskogan,64.9239,13.1569,0.01459272894149155
Oppdal,62.5944,9.6914,-0.11870448725371663
Selbu,63.2167,11.0311,0.6053945760878099
Trondheim - Tråante,63.4305,10.3951,1.5727830988248526
Tydal,63.0225,11.9325,-0.4580597099360544
Verdal,63.7931,11.4814,2.0794357231488436
Ørland,63.6881,9.6672,1.3531182593676356
Stjørdal,63.46802,10.93058,1.3357720891920577
Osen,64.30454,10.53651,0.9785926234879496
Skaun,63.3261,10.04314,0.7570184858558084
Melhus,63.28568,10.28068,0.7654019283758045
Nærøysund,64.86948,11.23734,1.3234795098990557
Steinkjer,64.01206,11.50389,1.266645759217675
Åfjord,63.9647,10.23636,0.8587857725341177
Rennebu,62.82901,10.00342,0.012507432486845715
Overhalla,64.49428,11.94327,1.3867657085158203
Rosse - Røros,62.57561,11.38178,-0.023941781527908823
Raarvihke - Røyrvik,64.89123,13.5578,-0.5119568930168965
Snåase - Snåsa,64.24588,12.38517,0.36369310942064903
Alstahaug,65.9442,12.4703,1.4181823399199698
Andøy,69.3,16.1333,0.07770749832006008
Ballangen,68.3417,16.8333,0.41634171728603864
Beiarn,67.0333,14.5667,-0.1987774148355146
Bindal,65.08718,12.37237,0.9379672861143531
Bodø,67.2804,14.4049,0.9043966536720598
Brønnøy,65.46598,12.20515,1.6781785458058964
Dønna,66.0667,12.5167,0.6416077498734367
Evenes - Evenášši,68.5,16.7667,-0.6509615986400079
Fauske - Fuossko,67.2583,15.3906,1.0757017471858212
Flakstad,68.1,13.25,0.6518395779323782
Gildeskål,67.0333,14.0167,1.0674838374914102
Grane,65.5667,13.3833,0.5097060090668446
Hadsel,68.5592,14.90259,1.1491428119512404
Hábmer - Hamarøy,68.0833,15.6333,0.9898793725393036
Aarborte - Hattfjelldal,65.59828,13.99871,0.5703441964287679
Hemnes,66.2167,14.1,-0.2791432777299141
Leirfjord,66.0833,12.8833,0.7379265643434589
Lurøy,66.37527,13.1292,0.04588043832005928
Lødingen,68.4083,15.9933,0.07893354618331472
Meløy,66.87464,13.71313,0.9617324188104432
Moskenes,67.9167,13.0,-0.8182367550693663
Narvik,68.4385,17.4279,-0.11699447039604616
Nesna,66.1961,13.0194,1.2374935540416674
Rana,66.3106,14.1428,0.36799420053641185
Rødøy,66.71277,13.29149,0.8831467098131496
Saltdal,66.8667,15.3667,0.06446335330013397
Sortland - Suortá,68.69728,15.39786,0.5969322704891789
Steigen,67.7833,15.0,0.8571035965263296
Sømna,65.3167,12.1833,1.1992971579026506
Sørfold,67.3833,15.6333,0.10495081022029229
Dielddanuorri - Tjeldsund,68.5833,16.3667,-0.7383865114955559
Tysfjord,68.1833,16.0,-0.3357236958423968
Vefsn,65.8667,13.1833,0.21367886244700562
Vefsn - langs fjorden,65.8667,13.1833,0.20240241143548143
Vefsn - Mosjøen,65.8358,13.1903,0.8378362607574648
Vega,65.6833,11.9333,1.6437502379209632
Vestvågøy,68.25,13.6,0.04642980431312571
Vevelstad,65.65799,12.43707,0.010555822196659292
Værøy,67.6667,12.6833,0.610661100611622
Vågan,68.2833,14.5667,-0.7306887815697847
Øksnes,68.9167,15.1667,0.2973659597867724
Balsfjord,69.2403,19.2186,-0.10449689216213809
