Municipality,Latitude,Longitude,Beta,Char
Søgne,58.0833,7.8167,3.8000007940256335,2.6615352791018263
Vennesla,58.2667,7.9747,3.8000004034789208,3.0369801722055336
Åseral,58.61865,7.42083,3.800000540284077,4.65008908599675
Bjerkreim,58.6458,6.0731,3.8000006084444165,3.7547772155939896
Bokn,59.217,5.45,3.800000465242229,1.0160250623277407
Eigersund,58.451,6.0048,3.7999982948882227,1.2890829977622065
Finnøy,59.1667,5.8333,nan,nan
Forsand,58.9078,6.238,3.8000012736680526,1.3706461255303133
Gjesdal,58.77,6.08,3.8000002979391683,3.971334523949934
Haugesund,59.417,5.27952,3.800001836760942,1.0640238891226557
Hjelmeland,59.23,6.18,3.800000373660407,1.3462907480962143
Hå,58.6167,5.65,3.800001558346525,1.1528744396353747
Karmøy,59.2833,5.3,3.7999989834494756,1.091621698820417
Klepp,58.77,5.63,nan,nan
Kvitsøy,59.0667,5.4167,nan,nan
Lund,58.4667,6.55,3.8000011249166237,1.752694102606491
Randaberg,58.9833,5.6167,nan,nan
Sandnes,58.8524,5.7352,nan,nan
Sauda,59.65,6.35,3.7999994632107446,2.34599476522244
Sokndal,58.3467,6.2896,3.800001140284995,1.6237925711168937
Sola,58.8887,5.65,nan,nan
Stavanger,58.969,5.7331,nan,nan
Strand,59.0222,6.04,3.7999971379410544,1.0167611969999595
Suldal,59.48625,6.25623,3.7999998421934316,2.008738692974706
Time,58.725,5.73,3.8000027212022953,1.0952231692358798
Tysvær,59.4,5.5,3.8000000261331057,1.0509165362051722
Vindafjord,59.6,5.95,3.799999568447951,7.407609390376386
Askøy,60.4,5.0,3.800000838969811,1.0008576396916935
Austrheim,60.7773,4.93244,3.7999984415925216,1.3348312716961581
Bergen,60.39035,5.3177,3.7999996354810426,1.1333566479320796
Bømlo,59.8,5.2,3.7999978537529175,1.2372656122145664
Eidfjord,60.35153,7.35181,3.799999923603733,13.443028675213384
Etne,59.7,5.9,3.800000391565419,4.704687843950236
Fedje,60.76451,4.72341,3.799997960250534,1.2386923502688567
Fitjar,59.92343,5.32846,3.8000025089509903,1.1864344179245656
Fusa,60.2,5.7,3.7999997458962977,3.753900314356023
Granvin,60.5,6.7,3.8000005165822994,2.8293654750800457
Jondal,60.3,6.3,3.8000000159306246,5.766963832559007
Kvam,60.4,6.1,3.799999976216235,19.118246022419743
Kvinnherad,59.9,6.0,3.800000163628176,12.619585074558058
Lindås,60.7,5.3,3.7999992613029514,1.6367271060025657
Masfjorden,61.0,5.3,3.800000096247249,4.615854353558146
Meland,60.6,5.0,3.8000011073546816,1.1678085589166567
Modalen,60.8,5.7,3.7999998063693186,23.909755729296716
Odda,60.1,6.5,3.799999977889653,12.380450801947964
Os,60.2,5.5,3.8000002384775664,2.563945017005819
Osterøy,60.5,5.6,3.79999993626905,10.012065920257154
Voss,60.6,6.4,3.800000469275326,4.695087092685741
Øygarden,60.36319,5.11867,3.80000071682756,1.0937282876257455
Ullensvang,60.06699,6.54544,3.7999984928377435,1.7480272800438135
Alver,60.55122,5.28939,3.799998958946935,1.3756478607222635
Vaksdal,60.5917,5.82262,3.8000003623642127,4.701960413427342
Samnanger,60.39245,5.77437,3.799999988151695,1.8612105161209265
Ulvik,60.5731,6.92183,3.7999997906947027,2.8392366205382977
Sveio,59.54494,5.35543,3.8000003014838564,0.9935148915300553
Stord,59.78143,5.49527,3.8000024415769196,1.3775119402546008
Tysnes,59.99905,5.49951,3.799999143963284,1.5793068689412924
Askvoll,61.3483,5.0736,3.8000013537025086,1.6157951985388643
Aurland,60.9064,7.1949,3.799998783776545,1.7479517668002982
Bremanger,61.76794,5.29806,3.8000003085979865,4.4811104411977425
Stad,61.9104,5.9987,3.800001396182792,2.8830892027057393
Fjaler,61.3669,5.4127,3.7999992622326166,2.42604298660407
Kinn,61.59204,5.01032,3.80000180158874,1.5062256092330992
Førde,61.4526,5.8621,3.8000012608959746,2.3216870536183962
Gaular,61.3954,5.9553,3.799999832923592,14.724832851468154
Gloppen,61.76946,6.23015,3.7999994816735487,2.9764113691243685
Gulen,60.9847,5.2058,3.80000020689412,7.931195504408787
Hornindal,62.0094,6.5231,3.799999942021406,14.411091117087455
Hyllestad,61.2804,5.3018,3.7999995495756034,4.505044347545069
Høyanger,61.2165,6.0812,3.800000066100478,2.5762949059826297
Jølster,61.5708,6.2531,3.7999997640475387,11.973075535688478
Leikanger,61.1844,6.8476,3.799999267973266,2.9264785743959787
Luster,61.4979,7.3292,3.800000085063698,15.59890208811724
Lærdal,61.0992,7.4786,3.800000367890867,1.7083995779510268
Naustdal,61.5092,5.7271,3.7999993386095934,1.7980854532128427
Sogndal,61.229,7.1034,3.799999482724563,3.296458996546135
Solund,61.0918,4.8324,3.7999988353304177,1.8739845779173079
Stryn,61.9018,6.7208,3.7999989200473894,2.582007553043151
Vik,61.0674,6.5857,3.7999994416252236,4.9287657862715974
Vågsøy,61.9357,5.1111,3.8000005770157776,2.29640260148811
Årdal,61.23825,7.72024,3.7999987519249085,2.7188486887886443
Sunnfjord,61.4929,5.54849,3.7999981429440424,1.9452373566900216
Aukra,62.7922,6.9069,3.799999789450273,2.3342573354288656
Aure,63.2714,8.5233,3.799999390484912,3.77929799191256
Averøy,63.0338,7.4897,3.7999991760485217,2.370932858022425
Hustadvika,62.9163,7.3958,3.8000002178764904,4.400818850442656
Fræna,62.8851,7.1286,3.799999597331281,4.489974156175186
Giske,62.50491,6.0465,3.8000001942975974,2.3834373951862866
Gjemnes,62.9667,7.7852,3.799997894812455,2.5314597989877865
Halsa,63.0694,8.2603,3.8000004935057996,3.921252222792486
Haram,62.59971,6.4387,3.8000001145289333,2.459481977147482
Hareid,62.3667,6.025,3.8000005550207394,2.6514508512926644
Herøy,65.9917,12.2833,3.7999996485378915,2.51382374443772
Kristiansund,63.1104,7.7279,3.7999988617246383,2.555476934531349
Midsund,62.6766,6.7265,3.80000013310351,2.695246998598352
Molde,62.7375,7.1591,3.80000068788229,2.7740273464455476
Nesset,62.7325,8.1725,3.7999999895584233,15.989434157614035
Norddal,62.2631,7.2497,3.7999999923315073,11.34082138792064
Rauma,62.5667,7.7,3.800001732193912,3.006485424217227
Rindal,63.05,9.2,3.800000418832116,3.5996648380188625
Skodje,62.4833,6.7167,3.79999961094244,2.8514629350341334
Smøla,63.44,8.0,3.800000549867489,2.461397184068663
Stordal,62.3833,7.25,3.8000000038552053,12.622157135431788
Stranda,62.3167,6.9333,3.799999369986704,3.6001276530933013
Sula,61.1159,4.96715,3.8000003108593563,2.5718920415972333
Sunndal,62.6667,8.5667,3.799999465925875,3.6840862418684406
Surnadal,62.9833,8.7333,3.8000001254243467,4.243302940239703
Sykkylven,62.3833,6.5833,3.8000005295795076,4.673396215326775
Tingvoll,62.9167,8.2,3.799999623708221,3.243451434918208
Ulstein,62.346,5.844,3.799998816210763,2.9290025664040042
Vanylven,62.10641,5.56983,3.7999990511970982,2.7584584212971346
Vestnes,62.62959,7.08469,3.799999050864838,2.3701853301846443
Volda,62.1444,6.0736,3.799998509234675,2.8171771636863694
Ørskog,62.4667,6.7833,3.7999991771365433,2.5858850203535857
Fjord,62.3051,7.26369,3.7999982277033406,3.0618633010578558
