Municipality,Latitude,Longitude,Beta
Midtre Gauldal,62.9525,10.4867,4.437692753882662
Namsos - Nåavmesjenjaelmie,64.47119,11.50364,3.3847142662826712
Namsskogan,64.9239,13.1569,3.900352009153206
Oppdal,62.5944,9.6914,3.6766380419540856
Selbu,63.2167,11.0311,4.109358178064688
Trondheim - Tråante,63.4305,10.3951,3.739930716147173
Tydal,63.0225,11.9325,4.44861333016513
Verdal,63.7931,11.4814,3.968595332687555
Ørland,63.6881,9.6672,3.7391037806877283
Stjørdal,63.46802,10.93058,4.321841804264842
Osen,64.30454,10.53651,3.086731000305599
Skaun,63.3261,10.04314,4.092008773516051
Melhus,63.28568,10.28068,4.530337120478558
Nærøysund,64.86948,11.23734,3.228884115468166
Steinkjer,64.01206,11.50389,3.678909212647844
Åfjord,63.9647,10.23636,3.8682030891244725
Rennebu,62.82901,10.00342,3.9682153862786596
Overhalla,64.49428,11.94327,3.701300513398474
Rosse - Røros,62.57561,11.38178,4.7086095595448425
Raarvihke - Røyrvik,64.89123,13.5578,4.186318234507429
Snåase - Snåsa,64.24588,12.38517,3.495421304640539
Alstahaug,65.9442,12.4703,3.7539731300111128
Andøy,69.3,16.1333,3.5433764995585353
Ballangen,68.3417,16.8333,4.365556452661821
Beiarn,67.0333,14.5667,3.9131685824034492
Bindal,65.08718,12.37237,3.5404722699994817
Bodø,67.2804,14.4049,4.604700663489158
Brønnøy,65.46598,12.20515,3.625322810632227
Dønna,66.0667,12.5167,3.2978452454331366
Evenes - Evenášši,68.5,16.7667,3.7196789183683254
Fauske - Fuossko,67.2583,15.3906,4.014300863024663
Flakstad,68.1,13.25,3.0203095567538827
Gildeskål,67.0333,14.0167,3.913485567603247
Grane,65.5667,13.3833,4.280769518011718
Hadsel,68.5592,14.90259,3.432434839657222
Hábmer - Hamarøy,68.0833,15.6333,3.628538312789935
Aarborte - Hattfjelldal,65.59828,13.99871,4.16961672609399
Hemnes,66.2167,14.1,3.6848034593305004
Leirfjord,66.0833,12.8833,3.382720898259512
Lurøy,66.37527,13.1292,2.401524261739941
Lødingen,68.4083,15.9933,4.061536172572208
Meløy,66.87464,13.71313,3.791187842384795
Moskenes,67.9167,13.0,3.378049978863606
Narvik,68.4385,17.4279,3.639402838658786
Nesna,66.1961,13.0194,3.459935979425129
Rana,66.3106,14.1428,3.78916186272608
Rødøy,66.71277,13.29149,4.685420200627306
Saltdal,66.8667,15.3667,4.0767175834035525
Sortland - Suortá,68.69728,15.39786,3.685157412129342
Steigen,67.7833,15.0,3.6328846567695154
Sømna,65.3167,12.1833,3.848963434127385
Sørfold,67.3833,15.6333,4.097054457966108
Dielddanuorri - Tjeldsund,68.5833,16.3667,3.586109581627596
Tysfjord,68.1833,16.0,4.609205589099182
Vefsn,65.8667,13.1833,3.9103650913385555
Vefsn - langs fjorden,65.8667,13.1833,3.530883438387045
Vefsn - Mosjøen,65.8358,13.1903,3.294962214988523
Vega,65.6833,11.9333,2.7284838223350687
Vestvågøy,68.25,13.6,3.098048143752607
Vevelstad,65.65799,12.43707,2.9873630437643772
Værøy,67.6667,12.6833,2.4057480319021343
Vågan,68.2833,14.5667,3.471540338845109
Øksnes,68.9167,15.1667,3.5073313015445224
Balsfjord,69.2403,19.2186,4.1948396654531255
