Municipality,Latitude,Longitude,Char
Vanylven,62.10641,5.56983,0.2415415787028654
Vestnes,62.62959,7.08469,1.1298146698153557
Volda,62.1444,6.0736,1.1828228363136306
Ørskog,62.4667,6.7833,1.4141149796464143
Fjord,62.3051,7.26369,3.4381366989421442
Ørsta,62.19982,6.12905,1.1487915598431138
Ålesund,62.47478,6.1865,-0.41078105750412996
Flatanger,64.50182,10.89724,0.6130059956814438
Fosnes,64.6753,11.2886,1.0093836740010396
Frosta,63.5833,10.7667,0.04573984187131286
Frøya,63.7256,8.8347,0.3484659656276876
Grong,64.4561,12.3122,-2.35954745354349
Heim,63.2903,9.0919,1.5669056149970237
Hitra,63.6033,8.9708,1.0061269161437538
Holtålen,62.84,11.3003,-0.3579264103940565
Høylandet,64.6323,12.3029,1.2593218771472312
Inderøy,63.8756,11.2914,1.396778956656246
Indre Fosen,63.5804,10.2241,0.8224897379146139
Klæbu,63.3161,10.3947,0.49416060168793585
Leka,65.0994,11.6528,-1.0879078202283035
Levanger,63.7461,11.2994,1.434156479253745
Lierne,64.4742,13.6019,1.0524353447700676
Malvik,63.4211,10.8072,1.3587372293614806
Orkland,63.0561,9.7122,2.201128198445222
Meråker,63.4247,11.7444,0.523347350658173
Midtre Gauldal,62.9525,10.4867,2.1089668650924507
Namsos - Nåavmesjenjaelmie,64.47119,11.50364,-0.432474630969935
Namsskogan,64.9239,13.1569,0.19882505252499705
Oppdal,62.5944,9.6914,-0.5328651547014411
Selbu,63.2167,11.0311,0.733060306829965
Trondheim - Tråante,63.4305,10.3951,0.6245247862921111
Tydal,63.0225,11.9325,0.11581350363720766
Verdal,63.7931,11.4814,1.2884148979690844
Ørland,63.6881,9.6672,0.5058141090968613
Stjørdal,63.46802,10.93058,1.274982259599327
Osen,64.30454,10.53651,-0.9271842857221735
Skaun,63.3261,10.04314,1.0158586961470606
Melhus,63.28568,10.28068,1.6460056270631167
Nærøysund,64.86948,11.23734,-0.16252591544731132
Steinkjer,64.01206,11.50389,0.5285363600865929
Åfjord,63.9647,10.23636,0.5753733802200389
Rennebu,62.82901,10.00342,0.08962465707848732
Overhalla,64.49428,11.94327,0.4297473435344621
Rosse - Røros,62.57561,11.38178,1.677852185937084
Raarvihke - Røyrvik,64.89123,13.5578,-0.8580569597266265
Snåase - Snåsa,64.24588,12.38517,-0.2483497066846967
Alstahaug,65.9442,12.4703,0.7643875967232923
Andøy,69.3,16.1333,-0.8231224627351326
Ballangen,68.3417,16.8333,1.3786927555041117
Beiarn,67.0333,14.5667,-0.36891243947155505
Bindal,65.08718,12.37237,0.04406260479549973
Bodø,67.2804,14.4049,1.7807356191413044
Brønnøy,65.46598,12.20515,0.212096549485409
Dønna,66.0667,12.5167,-0.5325803301424754
Evenes - Evenášši,68.5,16.7667,-1.6461929348878748
Fauske - Fuossko,67.2583,15.3906,0.9822120149804103
Flakstad,68.1,13.25,-1.4565934325387548
Gildeskål,67.0333,14.0167,0.779142093621739
Grane,65.5667,13.3833,2.128707362314354
Hadsel,68.5592,14.90259,-0.4529504145983241
Hábmer - Hamarøy,68.0833,15.6333,0.12851862100447997
